"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.164092869E0,-2.943674028E-1,2.340845585E0,3.485832810E-1
5.194085501E0,7.001075149E-2,1.750788689E0,6.013635397E-1
5.224078199E0,4.661071301E-1,1.046328545E0,7.456538677E-1
5.254070897E0,7.547401190E-1,2.677078247E-1,7.482210398E-1
5.284063529E0,6.421726942E-1,-2.305355072E-1,5.641593933E-1
5.314056194E0,3.376747072E-1,-4.534006119E-1,3.401013613E-1
5.344048892E0,-2.777668536E-1,-7.354192734E-1,1.373533607E-1
5.374041524E0,-6.058029532E-1,-8.189811707E-1,1.305504888E-1
5.394103323E0,-6.489024162E-1,-1.229347229E0,2.810363173E-1
5.414165089E0,-4.267327785E-1,-1.620667458E0,4.161018729E-1
5.434226855E0,-1.638637483E-1,-1.924658775E0,4.569558501E-1
5.454288621E0,2.642622590E-2,-2.101977348E0,4.434192777E-1
5.474350387E0,3.432168961E-1,-2.399961472E0,3.324571252E-1
5.494412153E0,4.585157335E-1,-2.418635368E0,1.533201039E-1
5.514473919E0,3.944072425E-1,-2.332457542E0,1.226341631E-2
5.534535719E0,1.218011379E-1,-1.995947838E0,-6.235000119E-2
5.554597485E0,-2.258651853E-1,-1.567837715E0,-9.510149807E-2
5.574659251E0,-5.447683334E-1,-1.108010292E0,1.980718225E-2
5.594721051E0,-8.410371542E-1,-3.707895279E-1,2.279751599E-1
5.614782851E0,-8.840965629E-1,-2.756891251E-1,3.294841051E-1
5.634844617E0,-8.182759285E-1,-6.224822998E-2,3.617212176E-1
5.654906383E0,-5.563500524E-1,9.677314758E-2,2.737308741E-1
5.674968149E0,-3.348339498E-1,2.158060074E-1,9.417393059E-2
5.704960814E0,-5.107769370E-2,3.563938141E-1,-1.803646833E-1
5.734953479E0,-2.453318238E-2,6.775903702E-1,-3.875902593E-1
5.764946144E0,-1.730982661E-1,1.027830124E0,-3.305328190E-1
